genus,species,genus_aw,species_aw
Rhacophorus,helenea,Rhacophorus,helenae
Rhacophorus,javanus,Rhacophorus,margaritifer
Rhacophorus,leucomystax,Polypedates,leucomystax
Scaphiophryne,pustulosa,Scaphiophryne,madagascariensis
Scaphiophryne,scalcara,Scaphiophryne,calcarata
Scaphiopus,couchi,Scaphiopus,couchii
Scaphiopus,holbrooki,Scaphiopus,holbrookii
Scinax,cruentomma,Scinax,cruentommus
Scinax,funerea,Scinax,funereus
Smilisca,phaeola,Smilisca,phaeota
Speleomantes,supramontes,Hydromantes,supramontis
Tomopterna,breviceps,Sphaerotheca,breviceps
Tomopterna,delandii,Tomopterna,delalandii
Triturus,hongkongensis,Paramesotriton,hongkongensis
Triturus,pyrrhogaster,Cynops,pyrrhogaster
Tylototriton,andersoni,Echinotriton,andersoni
Xenopus,epitropica,Xenopus,epitropicalis
