Genus,Species,Common Name
 Siren,lacertina ,greater siren
 Taricha,granulosa ,rough-skinned newt
 Taricha,rivularis ,red-bellied newt
 Taricha,sierrae ,Sierra newt
 Taricha,torosa ,California newt
 Triturus,carnifex ,Italian crested newt
 Triturus,cristatus ,great crested newt
 Triturus,dobrogicus ,Danube crested newt
 Triturus,hongkongensis ,no common name
 Triturus,ivanbureschi ,"Balkan-Anatolian crested newt, Buresch’s crested newt"
 Triturus,karelinii ,Southern crested newt
 Triturus,macedonicus ,no common name
 Triturus,marmoratus ,marbled newt
 Triturus,pygmaeus ,pygmy marbled newt
 Triturus,vittatus ,no common name
 Tylototriton,anguliceps ,angular-headed newt
 Tylototriton,asperrimus ,black knobby newt
 Tylototriton,broadoridgus ,no common name
 Tylototriton,dabienicus ,no common name
 Tylototriton,daweishanensis ,no common name
 Tylototriton,hainanensis ,Hainan knobby newt
 Tylototriton,kweichowensis ,red-tailed knobby newt
 Tylototriton,liuyangensis ,no common name
 Tylototriton,lizhengchangi ,Mangshan crocodile newt
 Tylototriton,notialis ,no common name
 Tylototriton,panhai ,no common name
 Tylototriton,pseudoverrucosus ,southern Sichuan crocodile newt
 Tylototriton,shanjing ,Yunnan newt
 Tylototriton,shanorum ,no common name
 Tylototriton,taliangensis ,Thailand newt
 Tylototriton,uyenoi ,no common name
 Tylototriton,verrucosus ,Himalayan newt
 Tylototriton,vietnamensis ,no common name
 Tylototriton,wenxianensis ,Wenxian knobby newt
 Tylototriton,yangi ,Tiannan crocodile newt
 Tylototriton,ziegleri ,Ziegler’s crocodile newt
