control_number,species_code,taxa,class,genus,species,subspecies,specific_name,generic_name,description,quantity,unit,value,country_origin,country_imp_exp,purpose,source,action,disposition,disposition_date,disposition_year,shipment_date,shipment_year,import_export,port,us_co,foreign_co,cleaning_notes
2019654798,DPUM,amphibian,Amphibia,Oophaga,pumilio,NA,STRAWBERRY,POISON-ARROW FROG,LIV,300,NO,NA,NI,NI,T,C,C,C,2019-11-14T00:00:00Z,2019,2019-09-26T00:00:00Z,2019,I,HN,NA,NA,NA
2019654843,PPIP,amphibian,Amphibia,Pipa,pipa,NA,SURINAM,TOAD,LIV,10,NO,NA,SR,SR,T,W,C,C,2019-11-14T00:00:00Z,2019,2019-11-13T00:00:00Z,2019,I,MI,NA,NA,NA
2019655292,HYMC,amphibian,Amphibia,Hymenochirus,curtipes,NA,W. DWARF CLAWED,FROG,LIV,400,NO,NA,SG,SG,T,C,C,C,2019-11-15T00:00:00Z,2019,2019-11-15T00:00:00Z,2019,I,NY,NA,NA,NA
2019656118,HYMC,amphibian,Amphibia,Hymenochirus,curtipes,NA,W. DWARF CLAWED,FROG,LIV,150,NO,NA,SG,SG,T,W,C,C,2019-11-16T00:00:00Z,2019,2019-11-16T00:00:00Z,2019,I,LA,NA,NA,NA
2019656123,KALO,amphibian,Amphibia,Kaloula,pulchra,NA,ASIATIC PAINTED,FROG,LIV,62,NO,NA,VN,VN,T,W,C,C,2019-11-16T00:00:00Z,2019,2019-11-16T00:00:00Z,2019,I,LA,NA,NA,NA
2019656123,RLEU,amphibian,Amphibia,Rhacophorus,leucomystax,NA,FLYING,FROG,LIV,63,NO,NA,VN,VN,T,W,C,C,2019-11-16T00:00:00Z,2019,2019-11-16T00:00:00Z,2019,I,LA,NA,NA,NA
2019656123,BUME,amphibian,Amphibia,Bufo,melanostictus,NA,BLACK-SPINED,TOAD,LIV,38,NO,NA,VN,VN,T,W,C,C,2019-11-16T00:00:00Z,2019,2019-11-16T00:00:00Z,2019,I,LA,NA,NA,NA
2019656155,HYMC,amphibian,Amphibia,Hymenochirus,curtipes,NA,W. DWARF CLAWED,FROG,LIV,1350,NO,NA,ID,ID,T,C,C,C,2019-11-17T00:00:00Z,2019,2019-11-17T00:00:00Z,2019,I,LA,NA,NA,NA
2019656156,HYMC,amphibian,Amphibia,Hymenochirus,curtipes,NA,W. DWARF CLAWED,FROG,LIV,100,NO,NA,SG,SG,T,C,C,C,2019-11-17T00:00:00Z,2019,2019-11-17T00:00:00Z,2019,I,LA,NA,NA,NA
2019656158,HYMC,amphibian,Amphibia,Hymenochirus,curtipes,NA,W. DWARF CLAWED,FROG,LIV,625,NO,NA,ID,ID,T,C,C,C,2019-11-17T00:00:00Z,2019,2019-11-17T00:00:00Z,2019,I,LA,NA,NA,NA
2019656162,HYMC,amphibian,Amphibia,Hymenochirus,curtipes,NA,W. DWARF CLAWED,FROG,LIV,625,NO,NA,SG,SG,T,W,C,C,2019-11-17T00:00:00Z,2019,2019-11-17T00:00:00Z,2019,I,LA,NA,NA,NA
