control_number,species_code,taxa,class,genus,species,subspecies,specific_name,generic_name,description,quantity,unit,value,country_origin,country_imp_exp,purpose,source,action,disposition,disposition_date,disposition_year,shipment_date,shipment_year,import_export,port,us_co,foreign_co,cleaning_notes
NA,RHAC,amphibian,Amphibia,Rhacophorus,sp.,NA,FLYING,FROG,LIV,20,NO,NA,CN,CN,T,W,C,C,1999-07-11,1999,1999-07-11,1999,I,LA,NA,NA,NA
NA,CYOR,amphibian,Amphibia,Cynops,orientalis,NA,CHINESE DWARF,NEWT,LIV,4500,NO,NA,CN,CN,T,W,C,C,1999-07-11,1999,1999-07-11,1999,I,LA,NA,NA,NA
NA,TRIT,amphibian,Amphibia,Triturus,sp.,NA,NA,NEWT,LIV,3400,NO,NA,JP,JP,T,W,C,C,1999-06-27,1999,1999-06-27,1999,I,LA,NA,NA,NA
NA,HYMC,amphibian,Amphibia,Hymenochirus,curtipes,NA,W. DWARF CLAWED,FROG,LIV,2520,NO,NA,HK,HK,T,W,C,C,1999-07-04,1999,1999-07-04,1999,I,LA,NA,NA,NA
NA,CYOR,amphibian,Amphibia,Cynops,orientalis,NA,CHINESE DWARF,NEWT,LIV,7700,NO,NA,HK,HK,T,W,C,C,1999-07-04,1999,1999-07-04,1999,I,LA,NA,NA,NA
NA,BOOR,amphibian,Amphibia,Bombina,orientalis,NA,ORIENTAL FIREBELLY,TOAD,LIV,1500,NO,NA,CN,CN,T,W,C,C,1999-07-04,1999,1999-07-04,1999,I,LA,NA,NA,NA
NA,RACA,amphibian,Amphibia,Rana,catesbeinana,NA,NA,BULLFROG,LIV,1904,NO,NA,TW,TW,T,W,C,C,1999-06-25,1999,1999-06-25,1999,I,LA,NA,NA,NA
NA,BUME,amphibian,Amphibia,Bufo,melanostictus,NA,BLACK-SPINED,TOAD,LIV,200,NO,NA,VN,VN,T,W,C,C,1999-08-04,1999,1999-08-04,1999,I,CH,NA,NA,NA
NA,KALO,amphibian,Amphibia,Kaloula,pulchra,NA,ASIATIC PAINTED,FROG,LIV,200,NO,NA,VN,VN,T,W,C,C,1999-08-04,1999,1999-08-04,1999,I,CH,NA,NA,NA
NA,XELA,amphibian,Amphibia,Xenopus,laevis,NA,AFRICAN CLAWED,TOAD,LIV,990,NO,NA,CL,CL,T,W,C,C,1999-08-11,1999,1999-08-11,1999,I,CH,NA,NA,NA
NA,BUFO,amphibian,Amphibia,Bufo,sp.,NA,NA,TOAD,LIV,190,NO,NA,EG,EG,T,W,C,C,1999-08-13,1999,1999-08-13,1999,I,CH,NA,NA,NA
NA,TRIT,amphibian,Amphibia,Triturus,sp.,NA,NA,NEWT,LIV,65,NO,NA,HK,HK,T,W,C,C,1999-08-08,1999,1999-08-08,1999,I,LA,NA,NA,NA
NA,AGCL,amphibian,Amphibia,Agalychnis,callidryas,NA,RED-EYED TREE,FROG,LIV,65,NO,NA,NI,NI,T,W,C,C,1999-07-08,1999,1999-07-08,1999,I,LA,NA,NA,NA
NA,HYLA,amphibian,Amphibia,Hyla,sp.,NA,TREE,FROG,LIV,37,NO,NA,NI,NI,T,W,C,C,1999-07-08,1999,1999-07-08,1999,I,LA,NA,NA,NA
NA,NONA,amphibian,Amphibia,Non-CITES entry,NA,NA,NA,AMPHIBIANS,LIV,200,NO,NA,TG,TG,T,W,C,C,1999-07-06,1999,1999-07-06,1999,I,LA,NA,NA,NA
NA,TRIT,amphibian,Amphibia,Triturus,sp.,NA,NA,NEWT,LIV,200,NO,NA,HK,HK,T,W,C,C,1999-07-18,1999,1999-07-18,1999,I,LA,NA,NA,NA
NA,RACA,amphibian,Amphibia,Rana,catesbeinana,NA,NA,BULLFROG,LIV,10000,KG,NA,TW,TW,T,W,C,C,1999-09-07,1999,1999-09-07,1999,I,SF,NA,NA,NA
NA,RACA,amphibian,Amphibia,Rana,catesbeinana,NA,NA,BULLFROG,LIV,2000,KG,NA,TW,TW,T,W,C,C,1999-09-02,1999,1999-09-02,1999,I,SF,NA,NA,NA
NA,LIT?,amphibian,Amphibia,Litoria,sp.,NA,TREE,FROG,LIV,350,NO,NA,ID,ID,T,W,C,C,1999-07-06,1999,1999-07-06,1999,I,LA,NA,NA,NA
NA,HRL?,amphibian,Amphibia,Hyperolius,sp.,NA,REED,FROG,LIV,1005,NO,NA,ZR,ZR,T,W,C,C,1999-05-17,1999,1999-05-17,1999,I,LA,NA,NA,NA
NA,BUFO,amphibian,Amphibia,Bufo,sp.,NA,NA,TOAD,DEA,300,NO,NA,ZR,ZR,T,W,C,C,1999-05-17,1999,1999-05-17,1999,I,LA,NA,NA,NA
