order,family,genus,species,genus_aw,species_aw,common_name,type,country,infection?,disease?,Lacey Act listed?,ref1,ref2,ref3,ref4,ref5,ref6,notes
Caudata,Hynobiidae,Salamandrella,keyserlingii,Salamandrella,keyserlingii,Siberian salamander,lab,N/A,1,0,1,Martel_etal_2014,,,,,,
Caudata,Hynobiidae,Salamandrella,keyserlingii,Salamandrella,keyserlingii,Siberian salamander,wild,Japan,1,0,1,Martel_etal_2014,,,,,,
Caudata,Salamandridae,Salamandrina,perspicillata,Salamandrina,perspicillata,northern spectacled salamander,lab,N/A,1,1,1,Martel_etal_2014,,,,,,
Caudata,Sirenidae,Siren,intermedia,Siren,intermedia,lesser siren,lab,N/A,1,0,1,Martel_etal_2014,,,,,,
Caudata,Salamandridae,Taricha,granulosa,Taricha,granulosa,Rough-skinned newt,lab,N/A,1,1,1,Martel_etal_2014,Wilber_etal_2021,Gray_etal_2023,,,,
Caudata,Salamandridae,Taricha,torosa,Taricha,torosa,California newt,lab,N/A,1,0,1,Gray_etal_2023,,,,,,
Caudata,Salamandridae,Triturus,cristatus,Triturus,cristatus,great crested newt,lab,N/A,1,1,1,Martel_etal_2014,Bates_etal_2019,,,,,
Caudata,Salamandridae,Triturus,pygmaeus,Triturus,pygmaeus,pygmy marbled newt,N/A,not specified,1,0,1,https://www.federalregister.gov/documents/2016/01/13/2016-00452/injurious-wildlife-species-listing-salamanders-due-to-risk-of-salamander-chytrid-fungus,,,,,,exact citation not clear
Caudata,Salamandridae,Triturus,cristatus,Triturus,cristatus,great crested newt,captive,UK,1,1,1,Fitzpatrick_etal_2018,,,,,,
Caudata,Salamandridae,Triturus,dobrogicus,Triturus,dobrogicus,Danube crested newt,captive,UK,1,0,1,Fitzpatrick_etal_2018,Bates_etal_2019,,,,,
Caudata,Salamandridae,Triturus,ivanbureschi,Triturus,ivanbureschi,Balkan crested newt,captive,UK,1,0,1,Fitzpatrick_etal_2018,,,,,,
Caudata,Salamandridae,Triturus,karelinii,Triturus,karelinii,southern crested newt,captive,UK,1,0,1,Fitzpatrick_etal_2018,,,,,,
Caudata,Salamandridae,Triturus,marmoratus,Triturus,marmoratus,marbled newt,captive,UK,1,1,1,Fitzpatrick_etal_2018,,,,,,
Caudata,Salamandridae,Triturus,marmoratus,Triturus,marmoratus,marbled newt,captive,Spain,1,1,1,Fitzpatrick_etal_2018,,,,,,
